file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabs ; 0:00.79  ; 120sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabsacker ; 0:00.70  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; 30svaphor ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; dataabs2 ; 0:00.06  ; 120sz3 ; unsat      ; 0:00.15 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; dataabs2acker ; 0:00.08  ; 120sz3 ; unsat      ; 0:00.17 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; dataabs2c2 ; 0:00.13  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; dataabs2c2acker ; 0:00.20  ; 120sz3 ; unsat      ; 0:00.29 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 120sdatabs ; 0:00.57  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 120sdatabsacker ; 0:00.62  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 30svaphor ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; dataabs2 ; 0:00.05  ; 120sz3 ; unsat      ; 0:00.19 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; dataabs2acker ; 0:00.05  ; 120sz3 ; unsat      ; 0:00.16 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; dataabs2c2 ; 0:00.15  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; dataabs2c2acker ; 0:00.15  ; 120sz3 ; unsat      ; 0:00.40 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; noabs ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 120sdatabs ; 0:00.77  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 120sdatabsacker ; 0:00.71  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 30svaphor ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.05 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; dataabs2 ; 0:00.06  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; dataabs2acker ; 0:00.07  ; 120sz3 ; unsat      ; 0:00.21 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; dataabs2c2 ; 0:00.14  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; dataabs2c2acker ; 0:00.23  ; 120sz3 ; unsat      ; 0:00.35 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; noabs ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.09 
